cluster	n_unique_r0	n_records_r0	branch	seeds	medoid_aa	hits_total	hits_in_slot	in_slot_over_total	hit_plasmids	median_hit_aa	profile_nseq	lipobox_pct
33	5	12	novel_family		81	13	13	1.0	12	81	5	0.0
50	4	9	novel_family		115	9	9	1.0	9	115	4	0.0
100	4	5	novel_family		106	5	5	1.0	5	106	4	0.0
66	3	26	novel_family		70	26	26	1.0	26	70	3	0.0
37	2	3	novel_family		68	3	3	1.0	3	71	2	100.0
147	2	2	novel_family		52	2	2	1.0	2	57	2	0.0
59	9	11	novel_family		86	12	11	0.917	12	86	9	0.0
133	9	17	novel_family		106	19	17	0.895	19	106	9	0.0
39	8	8	novel_family		220	9	8	0.889	9	216	8	0.0
94	4	29	novel_family		66	33	29	0.879	33	66	4	0.0
18	4	7	novel_family		205	8	7	0.875	8	208	4	87.5
42	2	8	novel_family		58	10	8	0.8	10	58	2	0.0
61	11	95	novel_family		102	120	95	0.792	120	102	11	0.0
27	4	5	novel_family		169	7	5	0.714	7	169	4	0.0
0	2	4	novel_family		166	6	4	0.667	6	81	2	0.0
19	52	167	novel_family		73	382	210	0.55	328	80	52	0.0
13	3	3	novel_family		111	6	3	0.5	6	114	3	0.0
80	4	13	novel_family		63	34	14	0.412	33	63	4	0.0
20	5	5	novel_family		109	15	5	0.333	14	119	5	0.0
21	3	3	novel_family		221	9	3	0.333	9	238	3	0.0
129	3	3	novel_family		73	9	3	0.333	9	82	3	0.0
47	3	5	novel_family		66	19	5	0.263	19	68	3	0.0
101	3	10	novel_family		119	46	10	0.217	44	119	3	0.0
73	2	2	novel_family		78	10	2	0.2	10	78	2	0.0
121	2	3	novel_family		194	27	3	0.111	22	200	2	0.0
11	2	2	novel_family		90	21	2	0.095	21	86	2	0.0
131	4	4	novel_family		101	2238	164	0.073	1379	103	4	0.0
74	4	5	novel_family		226	90	6	0.067	85	285	4	4.4
23	13	32	novel_family		156	629	32	0.051	510	136	13	0.0
53	8	16	novel_family		99	349	16	0.046	340	102	8	0.0
120	3	3	novel_family		326	14257	532	0.037	6704	326	3	0.0
2	99	127	novel_family		234	3778	135	0.036	2612	236	99	1.0
115	4	4	novel_family		250	221	4	0.018	186	188	4	0.0
35	3	6	novel_family		321	837	9	0.011	714	313	3	0.2
151	2	2	novel_family		196	242	2	0.008	222	302	2	0.4
44	2	4	novel_family		238	591	4	0.007	551	212	2	0.0
90	2	5	novel_family		152	780	5	0.006	756	123	2	10.1
142	2	2	novel_family		341	337	2	0.006	328	335	2	0.3
40	3	3	novel_family		362	585	3	0.005	447	339	3	0.0
77	3	5	novel_family		170	1345	5	0.004	1133	267	3	31.1
68	2	8	novel_family		192	3706	15	0.004	3672	245	2	69.5
28	2	2	novel_family		277	8889	24	0.003	3090	141	2	1.2
141	3	5	novel_family		307	23614	49	0.002	9131	307	3	0.1
29	2	2	novel_family		448	1135	2	0.002	761	457	2	2.1
82	2	2	novel_family		422	12407	23	0.002	5818	389	2	1.3
139	2	2	novel_family		174	1282	2	0.002	1253	178	2	0.9
71	6	9	novel_family		723	9770	9	0.001	8680	718	6	13.7
119	3	5	novel_family		138	9314	6	0.001	7068	144	3	0.7
22	2	4	novel_family		194	5991	8	0.001	5617	196	2	0.1
36	11	19	novel_family		300	41184	19	0.0	11428	301	11	0.2
